Order Date,SKU,Item,Variant,Quantity,Value,Delivery Date,Delivery Time
2025-10-10 13:08:43+08:00,B16LD,Storage Bedframe (No headboard),Servicing,1.0,775.28,2025-10-24,2025-10-24
2024-12-27 12:38:47+08:00,DC1606/RusticWH,Verona 1.6m 3x2 Dresser Sideboard,Assembly,1.0,773,2025-07-09,2025-07-09
2024-12-27 12:38:47+08:00,DC8036/RusticWH,Union 80cm Chest of 6 Drawers,Assembly,1.0,,2025-07-09,2025-07-09
2025-01-28 15:26:02+08:00,CTM10909,Custom Furniture,Custom,1.0,,2025-08-14,2025-08-14
2025-01-28 15:26:02+08:00,CTM10909,Custom Furniture,Custom,1.0,,2025-08-14,2025-08-14
2025-01-28 15:26:02+08:00,CTM10909 (SB6001/3021) - Black plastic legs,Custom Furniture,Custom,2.0,,2025-08-14,2025-08-14
2025-01-28 15:26:02+08:00,,Metal Legs,Upgrade,1.0,1337,2025-08-14,2025-08-14
2025-01-28 15:26:02+08:00,CU,Soft Close Hinge Upgrade,Upgrade,4.0,1337,2025-08-14,2025-08-14
2025-01-28 15:26:02+08:00,SC5,Vegas 1.2m Oak 4-Door Shoe Cabinet,Assembly,1.0,,2025-08-14,2025-08-14
2025-04-06 13:15:30+08:00,Zara/Divan/Queen/PL-012,Zara Fabric Bedframe (PL-012 Dark Brown),Queen / Divan,2.0,,2025-07-17,2025-07-17
2025-04-06 13:15:30+08:00,Zara/Storage/Queen/PL-012,Zara Fabric Bedframe (PL-012 Dark Brown),Queen / Storage (Hydraulic),1.0,1094.66,2025-07-17,2025-07-17
2025-04-14 19:48:29+08:00,TV1671/3045,Linwood 1.6m Maple TV Console Cabinet,Assembly,1.0,,,
2025-04-14 19:48:29+08:00,*SB8083/3045-use blum hinges,Richie 80cm Maple High Shoe Cabinet,Assembly,2.0,,,
2025-04-14 19:48:29+08:00,CU,Soft Close Hinge Upgrade,Upgrade,1.0,1194.15,,
2025-04-18 14:47:50+08:00,CTM11319 (TV1565/3045)-Soft close Slider,Custom Furniture,Custom,1.0,,2025-08-05,2025-08-05
2025-04-18 14:47:50+08:00,CU,Soft Close Hinge Upgrade,Upgrade,2.0,,2025-08-05,2025-08-05
2025-04-18 14:47:50+08:00,SC15,Vegas 90cm 3-Door Shoe Cabinet,Assembly,1.0,625.24,2025-08-05,2025-08-05
2025-04-18 14:47:50+08:00,,Soft Closing Slider Upgrade,Sliders / Soft Close,2.0,,2025-08-05,2025-08-05
2025-05-16 18:28:32+08:00,CTM11445,Custom Furniture,Custom,1.0,,2025-07-11,2025-07-11
2025-05-16 18:28:32+08:00,,Soft Closing Slider Upgrade,Sliders / Soft Close,5.0,783.02,2025-07-11,2025-07-11
2025-05-17 14:09:43+08:00,CTM11446,Custom Furniture,Custom,1.0,518.42,2025-07-09,2025-07-09
2025-05-18 18:53:57+08:00,CTM11457B,Replace handle screws ,Custom,1.0,,2025-07-18,2025-07-18
2025-05-18 18:53:57+08:00,CTM11457B,Custom Furniture,Custom,1.0,,2025-07-01,2025-07-01
2025-05-20 20:35:51+08:00,CTM11465A,Custom,Assembly,1.0,1200,2025-07-09,2025-07-09
2025-05-20 20:35:51+08:00,CTM11465B,Custom,Assembly,1.0,1200,2025-07-09,2025-07-09
2025-05-20 20:35:51+08:00,CU,Soft Close Hinge Upgrade,Upgrade,2.0,1200,2025-07-09,2025-07-09
2025-05-20 23:47:43+08:00,CTM11467 (Assemble on-site),Custom Furniture,Custom,1.0,882,2025-07-17,2025-07-17
2025-05-20 23:47:43+08:00,CU,Soft Close Hinge Upgrade,Upgrade,1.0,882,2025-07-17,2025-07-17
2025-05-21 23:23:10+08:00,CTM11470,Custom Furniture,Custom,1.0,1600,2025-07-17,2025-07-17
2025-05-24 19:10:38+08:00,Essential(noeurotop)/SuperSingle,"Essential 10.5"" Pocket Spring Mattress",Super Single,1.0,,2025-07-04,2025-07-04
2025-05-28 13:06:24+08:00,CH,Handle Upgrade,Upgrade,5.0,714.42,2025-07-18,2025-07-18
2025-05-28 13:06:24+08:00,CTM11495,Custom Furniture,Custom,1.0,,2025-07-18,2025-07-18
2025-05-29 12:43:37+08:00,CTM11497 (SB6001/Maple),Custom Furniture,Custom,1.0,229,2025-07-11,2025-07-11
2025-05-30 16:48:48+08:00,Elizabeth/Divan/Single (Custom width 89cm),Elizabeth Fabric Divan Bedframe,Divan / Single,1.0,,2025-07-18,2025-07-18
2025-05-31 10:32:27+08:00,CTM11504 (SS8030/Oak),Custom Furniture,Custom,1.0,748.6,2025-07-09,2025-07-09
2025-05-31 10:32:27+08:00,CTM11504 (SS6020/Oak),Custom Furniture,Custom,1.0,,2025-07-09,2025-07-09
